,Stop,City,lat,lon
421,Stop Position,Cluj-napoca,46.779081,23.648352
422,Stop Position,Cluj-napoca,46.778603,23.669899
423,Stop Position,Cluj-napoca,46.777683,23.682638
424,Stop Position,Cluj-napoca,46.778202,23.660078
425,Stop Position,Cluj-napoca,46.739366,23.586441
426,Stop Position,Cluj-napoca,46.752525,23.563658
427,Stop Position,Cluj-napoca,46.750161,23.558525
428,Stop Position,Cluj-napoca,46.754739,23.62811
429,Stop Position,Cluj-napoca,46.752601,23.634401
430,Stop Position,Cluj-napoca,46.747261,23.647171
431,Stop Position,Cluj-napoca,46.75041,23.639233
